,scientific_name,park_name,observations
8382,Eupatorium fistulosum,Yosemite National Park,135
12220,Eupatorium fistulosum,Bryce National Park,107
13218,Eupatorium fistulosum,Great Smoky Mountains National Park,70
17730,Eupatorium fistulosum,Yellowstone National Park,219
1254,Eupatorium hyssopifolium,Great Smoky Mountains National Park,91
14829,Eupatorium hyssopifolium,Bryce National Park,132
18174,Eupatorium hyssopifolium,Yosemite National Park,163
21902,Eupatorium hyssopifolium,Yellowstone National Park,277
1215,Eupatorium maculatum,Bryce National Park,89
9751,Eupatorium maculatum,Yellowstone National Park,254
17993,Eupatorium maculatum,Yosemite National Park,123
20185,Eupatorium maculatum,Great Smoky Mountains National Park,89
8566,Eupatorium perfoliatum,Great Smoky Mountains National Park,76
15123,Eupatorium perfoliatum,Bryce National Park,137
18072,Eupatorium perfoliatum,Yosemite National Park,153
18179,Eupatorium perfoliatum,Yellowstone National Park,270
451,Eupatorium pilosum,Great Smoky Mountains National Park,66
1959,Eupatorium pilosum,Yosemite National Park,140
2187,Eupatorium pilosum,Yellowstone National Park,232
4654,Eupatorium pilosum,Bryce National Park,50
4609,Eupatorium purpureum,Yellowstone National Park,266
9895,Eupatorium purpureum,Bryce National Park,127
14983,Eupatorium purpureum,Yosemite National Park,155
15028,Eupatorium purpureum,Great Smoky Mountains National Park,65
9076,Eupatorium rotundifolium,Great Smoky Mountains National Park,85
9455,Eupatorium rotundifolium,Bryce National Park,97
18789,Eupatorium rotundifolium,Yosemite National Park,161
22056,Eupatorium rotundifolium,Yellowstone National Park,219
5954,Eupatorium rotundifolium var. ovatum,Yosemite National Park,115
8199,Eupatorium rotundifolium var. ovatum,Bryce National Park,97
14224,Eupatorium rotundifolium var. ovatum,Yellowstone National Park,279
22078,Eupatorium rotundifolium var. ovatum,Great Smoky Mountains National Park,80
764,Eupatorium rotundifolium var. rotundifolium,Great Smoky Mountains National Park,117
1580,Eupatorium rotundifolium var. rotundifolium,Yosemite National Park,129
20478,Eupatorium rotundifolium var. rotundifolium,Bryce National Park,86
21886,Eupatorium rotundifolium var. rotundifolium,Yellowstone National Park,261
503,Eupatorium rugosum,Great Smoky Mountains National Park,77
18830,Eupatorium rugosum,Bryce National Park,96
19616,Eupatorium rugosum,Yellowstone National Park,247
20567,Eupatorium rugosum,Yosemite National Park,136
12871,Eupatorium serotinum,Yellowstone National Park,241
14366,Eupatorium serotinum,Great Smoky Mountains National Park,78
22034,Eupatorium serotinum,Yosemite National Park,118
22261,Eupatorium serotinum,Bryce National Park,80
5152,Eupatorium sessilifolium,Yosemite National Park,148
5859,Eupatorium sessilifolium,Great Smoky Mountains National Park,79
7941,Eupatorium sessilifolium,Yellowstone National Park,292
14370,Eupatorium sessilifolium,Bryce National Park,89
9739,Eupatorium steelei,Bryce National Park,101
16236,Eupatorium steelei,Great Smoky Mountains National Park,81
17148,Eupatorium steelei,Yosemite National Park,93
23199,Eupatorium steelei,Yellowstone National Park,272
1432,Euphagus carolinus,Yellowstone National Park,246
8209,Euphagus carolinus,Great Smoky Mountains National Park,93
16695,Euphagus carolinus,Yosemite National Park,175
20210,Euphagus carolinus,Bryce National Park,109
103,Euphagus cyanocephalus,Bryce National Park,79
4910,Euphagus cyanocephalus,Yosemite National Park,119
7338,Euphagus cyanocephalus,Yellowstone National Park,241
20931,Euphagus cyanocephalus,Great Smoky Mountains National Park,99
4539,Euphorbia commutata,Yellowstone National Park,259
8531,Euphorbia commutata,Yosemite National Park,194
9403,Euphorbia commutata,Bryce National Park,43
21258,Euphorbia commutata,Great Smoky Mountains National Park,108
12393,Euphorbia corollata,Bryce National Park,121
13331,Euphorbia corollata,Yosemite National Park,121
18031,Euphorbia corollata,Yellowstone National Park,234
22498,Euphorbia corollata,Great Smoky Mountains National Park,53
6894,Euphorbia crenulata,Bryce National Park,120
9596,Euphorbia crenulata,Great Smoky Mountains National Park,107
16967,Euphorbia crenulata,Yosemite National Park,161
20359,Euphorbia crenulata,Yellowstone National Park,274
7190,Euphorbia cyparissias,Bryce National Park,105
10970,Euphorbia cyparissias,Yellowstone National Park,257
13405,Euphorbia cyparissias,Yosemite National Park,158
15067,Euphorbia cyparissias,Great Smoky Mountains National Park,104
2484,Euphorbia dentata var. dentata,Yellowstone National Park,250
11005,Euphorbia dentata var. dentata,Yosemite National Park,134
14268,Euphorbia dentata var. dentata,Great Smoky Mountains National Park,41
18897,Euphorbia dentata var. dentata,Bryce National Park,84
3926,Euphorbia esula,Yosemite National Park,155
4381,Euphorbia esula,Great Smoky Mountains National Park,58
10614,Euphorbia esula,Yellowstone National Park,253
17835,Euphorbia esula,Bryce National Park,145
3186,Euphorbia lathyris,Yosemite National Park,135
10789,Euphorbia lathyris,Bryce National Park,84
13021,Euphorbia lathyris,Yellowstone National Park,261
13672,Euphorbia lathyris,Great Smoky Mountains National Park,82
5997,Euphorbia marginata,Yellowstone National Park,257
7835,Euphorbia marginata,Bryce National Park,68
20183,Euphorbia marginata,Yosemite National Park,175
20218,Euphorbia marginata,Great Smoky Mountains National Park,75
1199,Euphorbia mercurialina,Bryce National Park,84
14223,Euphorbia mercurialina,Great Smoky Mountains National Park,90
18927,Euphorbia mercurialina,Yellowstone National Park,237
19019,Euphorbia mercurialina,Yosemite National Park,171
12093,Euphorbia pubentissima,Bryce National Park,67
19498,Euphorbia pubentissima,Yellowstone National Park,257
20285,Euphorbia pubentissima,Great Smoky Mountains National Park,67
21615,Euphorbia pubentissima,Yosemite National Park,148
8759,Euphorbia purpurea,Bryce National Park,88
11195,Euphorbia purpurea,Yellowstone National Park,213
15498,Euphorbia purpurea,Yosemite National Park,143
21077,Euphorbia purpurea,Great Smoky Mountains National Park,67
500,Eurhynchium hians,Great Smoky Mountains National Park,46
9829,Eurhynchium hians,Yellowstone National Park,244
12490,Eurhynchium hians,Bryce National Park,112
23075,Eurhynchium hians,Yosemite National Park,165
15198,Eurhynchium pulchellum,Yosemite National Park,158
16061,Eurhynchium pulchellum,Great Smoky Mountains National Park,90
16916,Eurhynchium pulchellum,Yellowstone National Park,259
18092,Eurhynchium pulchellum,Bryce National Park,102
255,Eurybia chlorolepis,Yellowstone National Park,216
4806,Eurybia chlorolepis,Bryce National Park,95
11801,Eurybia chlorolepis,Great Smoky Mountains National Park,91
17564,Eurybia chlorolepis,Yosemite National Park,113
9359,Eurybia conspicua,Yellowstone National Park,243
12367,Eurybia conspicua,Bryce National Park,96
19545,Eurybia conspicua,Yosemite National Park,147
20022,Eurybia conspicua,Great Smoky Mountains National Park,54
6600,Eurybia divaricata,Yellowstone National Park,227
14222,Eurybia divaricata,Bryce National Park,90
16903,Eurybia divaricata,Yosemite National Park,144
17371,Eurybia divaricata,Great Smoky Mountains National Park,97
3804,Eurybia integrifolia,Yellowstone National Park,232
15709,Eurybia integrifolia,Yosemite National Park,129
15851,Eurybia integrifolia,Bryce National Park,66
21599,Eurybia integrifolia,Great Smoky Mountains National Park,76
1818,Eurybia macrophylla,Bryce National Park,81
5891,Eurybia macrophylla,Yosemite National Park,130
13153,Eurybia macrophylla,Great Smoky Mountains National Park,76
22355,Eurybia macrophylla,Yellowstone National Park,234
7847,Eurybia merita,Great Smoky Mountains National Park,87
17153,Eurybia merita,Yellowstone National Park,250
18107,Eurybia merita,Bryce National Park,108
22756,Eurybia merita,Yosemite National Park,153
1741,Eurybia surculosa,Yosemite National Park,131
12612,Eurybia surculosa,Great Smoky Mountains National Park,73
18457,Eurybia surculosa,Bryce National Park,95
21707,Eurybia surculosa,Yellowstone National Park,226
13743,Eurycea,Yosemite National Park,147
13803,Eurycea,Bryce National Park,81
16542,Eurycea,Great Smoky Mountains National Park,88
22429,Eurycea,Yellowstone National Park,218
4314,Eurycea bislineata,Yellowstone National Park,238
6099,Eurycea bislineata,Great Smoky Mountains National Park,115
12763,Eurycea bislineata,Bryce National Park,73
20738,Eurycea bislineata,Yosemite National Park,158
6489,Eurycea cirrigera,Great Smoky Mountains National Park,104
9002,Eurycea cirrigera,Bryce National Park,95
10317,Eurycea cirrigera,Yosemite National Park,162
15557,Eurycea cirrigera,Yellowstone National Park,279
3072,Eurycea guttolineata,Yellowstone National Park,218
4800,Eurycea guttolineata,Bryce National Park,105
15175,Eurycea guttolineata,Great Smoky Mountains National Park,49
18214,Eurycea guttolineata,Yosemite National Park,170
8687,Eurycea junaluska,Great Smoky Mountains National Park,46
15673,Eurycea junaluska,Yosemite National Park,145
20867,Eurycea junaluska,Yellowstone National Park,262
21420,Eurycea junaluska,Bryce National Park,121
95,Eurycea longicauda longicauda,Yosemite National Park,147
1874,Eurycea longicauda longicauda,Bryce National Park,122
16608,Eurycea longicauda longicauda,Yellowstone National Park,258
20110,Eurycea longicauda longicauda,Great Smoky Mountains National Park,66
13919,Eurycea lucifuga,Great Smoky Mountains National Park,58
14790,Eurycea lucifuga,Yosemite National Park,159
20889,Eurycea lucifuga,Yellowstone National Park,236
20975,Eurycea lucifuga,Bryce National Park,67
6770,Eurycea wilderae,Yellowstone National Park,251
11328,Eurycea wilderae,Yosemite National Park,157
15901,Eurycea wilderae,Great Smoky Mountains National Park,54
17177,Eurycea wilderae,Bryce National Park,105
15710,Euthamia occidentalis,Yellowstone National Park,224
19580,Euthamia occidentalis,Great Smoky Mountains National Park,74
21848,Euthamia occidentalis,Yosemite National Park,128
23192,Euthamia occidentalis,Bryce National Park,78
14,Fabronia ciliaris,Great Smoky Mountains National Park,72
322,Fabronia ciliaris,Bryce National Park,111
3237,Fabronia ciliaris,Yellowstone National Park,214
11618,Fabronia ciliaris,Yosemite National Park,146
314,Fabronia ciliaris var. polycarpa,Yellowstone National Park,264
6055,Fabronia ciliaris var. polycarpa,Bryce National Park,85
12585,Fabronia ciliaris var. polycarpa,Great Smoky Mountains National Park,62
22748,Fabronia ciliaris var. polycarpa,Yosemite National Park,137
2439,Fagopyrum esculentum,Bryce National Park,74
2758,Fagopyrum esculentum,Yellowstone National Park,255
11854,Fagopyrum esculentum,Yosemite National Park,153
15989,Fagopyrum esculentum,Great Smoky Mountains National Park,26
2138,Fagopyrum vulgare,Yellowstone National Park,232
3061,Fagopyrum vulgare,Yosemite National Park,165
3736,Fagopyrum vulgare,Great Smoky Mountains National Park,108
5979,Fagopyrum vulgare,Bryce National Park,112
7954,Fagus grandifolia,Yosemite National Park,161
10007,Fagus grandifolia,Yellowstone National Park,221
17727,Fagus grandifolia,Bryce National Park,100
20121,Fagus grandifolia,Great Smoky Mountains National Park,71
8654,Falco columbarius,Great Smoky Mountains National Park,28
20539,Falco columbarius,Yellowstone National Park,258
22519,Falco columbarius,Yosemite National Park,122
22609,Falco columbarius,Bryce National Park,94
1864,Falco mexicanus,Yosemite National Park,121
7225,Falco mexicanus,Yellowstone National Park,200
10702,Falco mexicanus,Great Smoky Mountains National Park,55
21667,Falco mexicanus,Bryce National Park,116
2824,Falco peregrinus,Bryce National Park,100
5483,Falco peregrinus,Yosemite National Park,112
5726,Falco peregrinus,Yellowstone National Park,232
11001,Falco peregrinus,Great Smoky Mountains National Park,38
1966,Falco peregrinus anatum,Bryce National Park,72
5626,Falco peregrinus anatum,Yellowstone National Park,176
8852,Falco peregrinus anatum,Great Smoky Mountains National Park,70
15555,Falco peregrinus anatum,Yosemite National Park,152
10337,Falco sparverius,Yellowstone National Park,211
16809,Falco sparverius,Yosemite National Park,126
17261,Falco sparverius,Bryce National Park,102
22310,Falco sparverius,Great Smoky Mountains National Park,54
1191,Felis concolor,Great Smoky Mountains National Park,72
3418,Felis concolor,Yellowstone National Park,284
6007,Felis concolor,Yosemite National Park,146
18585,Felis concolor,Bryce National Park,65
1175,Felis silvestris,Bryce National Park,103
4251,Felis silvestris,Yellowstone National Park,259
8458,Felis silvestris,Yosemite National Park,150
16311,Felis silvestris,Great Smoky Mountains National Park,61
7967,Festuca arundinacea,Yellowstone National Park,218
17034,Festuca arundinacea,Bryce National Park,98
22247,Festuca arundinacea,Great Smoky Mountains National Park,57
22562,Festuca arundinacea,Yosemite National Park,153
10585,Festuca baffinensis,Great Smoky Mountains National Park,26
14989,Festuca baffinensis,Bryce National Park,124
15366,Festuca baffinensis,Yosemite National Park,100
21505,Festuca baffinensis,Yellowstone National Park,278
5014,Festuca brachyphylla,Bryce National Park,121
18211,Festuca brachyphylla,Yellowstone National Park,256
21129,Festuca brachyphylla,Great Smoky Mountains National Park,66
22536,Festuca brachyphylla,Yosemite National Park,133
6309,Festuca brachyphylla ssp. breviculmis,Yellowstone National Park,275
12417,Festuca brachyphylla ssp. breviculmis,Yosemite National Park,167
14481,Festuca brachyphylla ssp. breviculmis,Great Smoky Mountains National Park,65
15595,Festuca brachyphylla ssp. breviculmis,Bryce National Park,106
32,Festuca filiformis,Great Smoky Mountains National Park,79
1786,Festuca filiformis,Yellowstone National Park,240
7168,Festuca filiformis,Bryce National Park,68
17689,Festuca filiformis,Yosemite National Park,177
37,Festuca idahoensis,Yellowstone National Park,239
6014,Festuca idahoensis,Yosemite National Park,164
8690,Festuca idahoensis,Great Smoky Mountains National Park,106
17778,Festuca idahoensis,Bryce National Park,102
1350,Festuca minutiflora,Yosemite National Park,116
5991,Festuca minutiflora,Bryce National Park,88
7864,Festuca minutiflora,Yellowstone National Park,286
15594,Festuca minutiflora,Great Smoky Mountains National Park,74
2092,Festuca occidentalis,Yellowstone National Park,246
4643,Festuca occidentalis,Great Smoky Mountains National Park,69
6232,Festuca occidentalis,Bryce National Park,87
7948,Festuca occidentalis,Yosemite National Park,150
1524,Festuca ovina,Bryce National Park,100
5054,Festuca ovina,Yosemite National Park,150
19805,Festuca ovina,Great Smoky Mountains National Park,98
21857,Festuca ovina,Yellowstone National Park,250
11522,Festuca paradoxa,Yosemite National Park,142
13453,Festuca paradoxa,Great Smoky Mountains National Park,83
13504,Festuca paradoxa,Yellowstone National Park,262
16573,Festuca paradoxa,Bryce National Park,109
3680,Festuca rubra,Great Smoky Mountains National Park,92
4122,Festuca rubra,Bryce National Park,91
9768,Festuca rubra,Great Smoky Mountains National Park,49
11608,Festuca rubra,Yellowstone National Park,276
18863,Festuca rubra,Yellowstone National Park,225
18982,Festuca rubra,Yosemite National Park,156
20571,Festuca rubra,Bryce National Park,97
22003,Festuca rubra,Yosemite National Park,132
4452,Festuca saximontana,Yosemite National Park,121
4769,Festuca saximontana,Yellowstone National Park,265
17281,Festuca saximontana,Great Smoky Mountains National Park,71
18227,Festuca saximontana,Bryce National Park,76
7417,Festuca saximontana var. purpusiana,Bryce National Park,63
9041,Festuca saximontana var. purpusiana,Yosemite National Park,172
15864,Festuca saximontana var. purpusiana,Great Smoky Mountains National Park,110
19784,Festuca saximontana var. purpusiana,Yellowstone National Park,236
2133,Festuca subulata,Bryce National Park,64
5830,Festuca subulata,Yosemite National Park,158
11847,Festuca subulata,Great Smoky Mountains National Park,141
13302,Festuca subulata,Yellowstone National Park,268
3583,Festuca subverticillata,Yosemite National Park,100
6128,Festuca subverticillata,Yellowstone National Park,230
8040,Festuca subverticillata,Bryce National Park,98
18643,Festuca subverticillata,Great Smoky Mountains National Park,101
8280,Filago gallica,Great Smoky Mountains National Park,46
18952,Filago gallica,Yellowstone National Park,258
19264,Filago gallica,Yosemite National Park,176
20753,Filago gallica,Bryce National Park,90
3607,Filipendula rubra,Bryce National Park,62
7852,Filipendula rubra,Great Smoky Mountains National Park,79
9592,Filipendula rubra,Yellowstone National Park,252
13843,Filipendula rubra,Yosemite National Park,145
1072,Fimbristylis autumnalis,Great Smoky Mountains National Park,91
2443,Fimbristylis autumnalis,Yosemite National Park,140
3797,Fimbristylis autumnalis,Yellowstone National Park,208
10626,Fimbristylis autumnalis,Bryce National Park,126
2148,Fimbristylis tomentosa,Bryce National Park,110
7381,Fimbristylis tomentosa,Great Smoky Mountains National Park,78
12735,Fimbristylis tomentosa,Yellowstone National Park,252
18652,Fimbristylis tomentosa,Yosemite National Park,115
9236,Fissidens bryoides,Yosemite National Park,142
10740,Fissidens bryoides,Great Smoky Mountains National Park,73
12154,Fissidens bryoides,Bryce National Park,124
21133,Fissidens bryoides,Yellowstone National Park,249
13184,Fissidens bushii,Yosemite National Park,162
14754,Fissidens bushii,Bryce National Park,119
16900,Fissidens bushii,Yellowstone National Park,234
20842,Fissidens bushii,Great Smoky Mountains National Park,51
2050,Fissidens exilis,Yosemite National Park,127
3696,Fissidens exilis,Great Smoky Mountains National Park,105
11826,Fissidens exilis,Yellowstone National Park,243
20311,Fissidens exilis,Bryce National Park,102
3322,Fissidens hyalinus,Yosemite National Park,152
6230,Fissidens hyalinus,Yellowstone National Park,227
6455,Fissidens hyalinus,Bryce National Park,94
8602,Fissidens hyalinus,Great Smoky Mountains National Park,57
3223,Fissidens osmundioides,Bryce National Park,133
5035,Fissidens osmundioides,Yellowstone National Park,267
9170,Fissidens osmundioides,Yosemite National Park,177
21905,Fissidens osmundioides,Great Smoky Mountains National Park,62
966,Fissidens subbasilaris,Bryce National Park,108
11109,Fissidens subbasilaris,Yosemite National Park,167
12921,Fissidens subbasilaris,Yellowstone National Park,254
17759,Fissidens subbasilaris,Great Smoky Mountains National Park,76
4823,Fissidens taxifolius,Yosemite National Park,115
10112,Fissidens taxifolius,Bryce National Park,87
11242,Fissidens taxifolius,Yellowstone National Park,257
20742,Fissidens taxifolius,Great Smoky Mountains National Park,76
243,Fleischmannia incarnata,Bryce National Park,96
10080,Fleischmannia incarnata,Great Smoky Mountains National Park,51
12768,Fleischmannia incarnata,Yellowstone National Park,227
20629,Fleischmannia incarnata,Yosemite National Park,156
155,Floerkea proserpinacoides,Yosemite National Park,131
7617,Floerkea proserpinacoides,Yellowstone National Park,235
8587,Floerkea proserpinacoides,Bryce National Park,96
10930,Floerkea proserpinacoides,Great Smoky Mountains National Park,17
8231,Foeniculum vulgare,Great Smoky Mountains National Park,97
10635,Foeniculum vulgare,Bryce National Park,141
13517,Foeniculum vulgare,Yellowstone National Park,253
13716,Foeniculum vulgare,Yosemite National Park,172
4041,Fontinalis,Bryce National Park,113
7923,Fontinalis,Great Smoky Mountains National Park,62
16147,Fontinalis,Yellowstone National Park,273
21015,Fontinalis,Yosemite National Park,148
2895,Fontinalis dalecarlica,Great Smoky Mountains National Park,86
8882,Fontinalis dalecarlica,Bryce National Park,72
16745,Fontinalis dalecarlica,Yosemite National Park,154
17968,Fontinalis dalecarlica,Yellowstone National Park,239
9734,Fontinalis flaccida,Bryce National Park,88
11857,Fontinalis flaccida,Great Smoky Mountains National Park,68
13130,Fontinalis flaccida,Yosemite National Park,150
14399,Fontinalis flaccida,Yellowstone National Park,263
8698,Fontinalis novae-angliae,Great Smoky Mountains National Park,94
12247,Fontinalis novae-angliae,Yellowstone National Park,247
13615,Fontinalis novae-angliae,Yosemite National Park,123
14483,Fontinalis novae-angliae,Bryce National Park,79
6774,Fontinalis novae-angliae var. novae-angliae,Great Smoky Mountains National Park,88
8793,Fontinalis novae-angliae var. novae-angliae,Yosemite National Park,142
15145,Fontinalis novae-angliae var. novae-angliae,Bryce National Park,96
17242,Fontinalis novae-angliae var. novae-angliae,Yellowstone National Park,232
345,Fontinalis sullivantii,Bryce National Park,97
8543,Fontinalis sullivantii,Great Smoky Mountains National Park,103
10372,Fontinalis sullivantii,Yosemite National Park,159
10545,Fontinalis sullivantii,Yellowstone National Park,244
9947,Forsstroemia trichomitria,Yosemite National Park,140
13316,Forsstroemia trichomitria,Bryce National Park,117
17768,Forsstroemia trichomitria,Great Smoky Mountains National Park,33
22147,Forsstroemia trichomitria,Yellowstone National Park,300
7378,Forsythia suspensa,Bryce National Park,97
8978,Forsythia suspensa,Yellowstone National Park,292
10292,Forsythia suspensa,Great Smoky Mountains National Park,104
18454,Forsythia suspensa,Yosemite National Park,145
2043,Forsythia viridissima,Bryce National Park,98
11865,Forsythia viridissima,Yellowstone National Park,243
13466,Forsythia viridissima,Yosemite National Park,143
14341,Forsythia viridissima,Great Smoky Mountains National Park,94
7195,Fothergilla major,Yellowstone National Park,229
12897,Fothergilla major,Yosemite National Park,141
22640,Fothergilla major,Great Smoky Mountains National Park,85
23266,Fothergilla major,Bryce National Park,102
4557,Fragaria vesca,Bryce National Park,79
6818,Fragaria vesca,Great Smoky Mountains National Park,124
10900,Fragaria vesca,Yellowstone National Park,257
15143,Fragaria vesca,Yellowstone National Park,235
17270,Fragaria vesca,Yosemite National Park,143
22285,Fragaria vesca,Great Smoky Mountains National Park,58
22757,Fragaria vesca,Bryce National Park,100
22893,Fragaria vesca,Yosemite National Park,162
3025,Fragaria virginiana,Bryce National Park,97
5549,Fragaria virginiana,Yosemite National Park,123
5589,Fragaria virginiana,Great Smoky Mountains National Park,110
6783,Fragaria virginiana,Yosemite National Park,132
12663,Fragaria virginiana,Yellowstone National Park,243
15629,Fragaria virginiana,Yellowstone National Park,244
15647,Fragaria virginiana,Great Smoky Mountains National Park,107
21229,Fragaria virginiana,Bryce National Park,114
1586,Frangula caroliniana,Yellowstone National Park,217
5623,Frangula caroliniana,Great Smoky Mountains National Park,43
6468,Frangula caroliniana,Bryce National Park,125
17081,Frangula caroliniana,Yosemite National Park,130
14532,Frasera caroliniensis,Great Smoky Mountains National Park,62
17333,Frasera caroliniensis,Yosemite National Park,137
17608,Frasera caroliniensis,Bryce National Park,89
20265,Frasera caroliniensis,Yellowstone National Park,244
2310,Frasera speciosa,Great Smoky Mountains National Park,53
7090,Frasera speciosa,Yosemite National Park,122
14706,Frasera speciosa,Bryce National Park,72
19703,Frasera speciosa,Yellowstone National Park,220
9844,Fraxinus americana,Great Smoky Mountains National Park,122
17038,Fraxinus americana,Bryce National Park,100
18850,Fraxinus americana,Yosemite National Park,106
19828,Fraxinus americana,Yellowstone National Park,249
3139,Fraxinus dipetala,Great Smoky Mountains National Park,83
6306,Fraxinus dipetala,Bryce National Park,108
10633,Fraxinus dipetala,Yellowstone National Park,234
16858,Fraxinus dipetala,Yosemite National Park,106
14031,Fraxinus latifolia,Bryce National Park,81
14344,Fraxinus latifolia,Great Smoky Mountains National Park,79
19082,Fraxinus latifolia,Yosemite National Park,126
19240,Fraxinus latifolia,Yellowstone National Park,269
5306,Fraxinus pennsylvanica,Great Smoky Mountains National Park,74
5660,Fraxinus pennsylvanica,Bryce National Park,91
19269,Fraxinus pennsylvanica,Yellowstone National Park,244
19275,Fraxinus pennsylvanica,Yosemite National Park,153
5165,Fraxinus profunda,Yellowstone National Park,262
10454,Fraxinus profunda,Great Smoky Mountains National Park,79
20947,Fraxinus profunda,Bryce National Park,129
21387,Fraxinus profunda,Yosemite National Park,147
9472,Fraxinus quadrangulata,Great Smoky Mountains National Park,85
12131,Fraxinus quadrangulata,Bryce National Park,58
13945,Fraxinus quadrangulata,Yosemite National Park,146
21440,Fraxinus quadrangulata,Yellowstone National Park,242
2021,Fritillaria atropurpurea,Yosemite National Park,170
15489,Fritillaria atropurpurea,Great Smoky Mountains National Park,47
16201,Fritillaria atropurpurea,Yellowstone National Park,246
20205,Fritillaria atropurpurea,Bryce National Park,99
1776,Fritillaria micrantha,Great Smoky Mountains National Park,88
5557,Fritillaria micrantha,Yellowstone National Park,277
13232,Fritillaria micrantha,Bryce National Park,71
18812,Fritillaria micrantha,Yosemite National Park,181
2586,Fritillaria pinetorum,Great Smoky Mountains National Park,75
8818,Fritillaria pinetorum,Yellowstone National Park,260
20306,Fritillaria pinetorum,Bryce National Park,45
21878,Fritillaria pinetorum,Yosemite National Park,119
2642,Fritillaria pudica,Yellowstone National Park,249
13624,Fritillaria pudica,Great Smoky Mountains National Park,51
17112,Fritillaria pudica,Yosemite National Park,165
17743,Fritillaria pudica,Bryce National Park,92
7831,Fulica americana,Yellowstone National Park,255
12769,Fulica americana,Bryce National Park,91
17862,Fulica americana,Yosemite National Park,158
19451,Fulica americana,Great Smoky Mountains National Park,114
2333,Funaria calvescens,Yellowstone National Park,223
10607,Funaria calvescens,Yosemite National Park,152
15839,Funaria calvescens,Great Smoky Mountains National Park,74
19600,Funaria calvescens,Bryce National Park,140
7181,Funaria flavicans,Great Smoky Mountains National Park,98
13942,Funaria flavicans,Yosemite National Park,147
19402,Funaria flavicans,Bryce National Park,97
19710,Funaria flavicans,Yellowstone National Park,231
520,Funaria hygrometrica,Yellowstone National Park,276
12913,Funaria hygrometrica,Bryce National Park,73
13700,Funaria hygrometrica,Great Smoky Mountains National Park,71
14704,Funaria hygrometrica,Yosemite National Park,163
2974,Fundulus catenatus,Yosemite National Park,155
14059,Fundulus catenatus,Bryce National Park,87
19024,Fundulus catenatus,Great Smoky Mountains National Park,54
19612,Fundulus catenatus,Yellowstone National Park,211
1247,Gaillardia aristata,Yosemite National Park,167
6886,Gaillardia aristata,Great Smoky Mountains National Park,58
11050,Gaillardia aristata,Yellowstone National Park,268
21337,Gaillardia aristata,Bryce National Park,100
3277,Gaillardia pulchella,Great Smoky Mountains National Park,62
6763,Gaillardia pulchella,Yellowstone National Park,225
9275,Gaillardia pulchella,Yosemite National Park,166
17340,Gaillardia pulchella,Bryce National Park,99
4443,Galactia regularis,Yosemite National Park,155
5147,Galactia regularis,Great Smoky Mountains National Park,84
5823,Galactia regularis,Yellowstone National Park,221
18763,Galactia regularis,Bryce National Park,52
946,Galactia volubilis,Bryce National Park,145
5088,Galactia volubilis,Great Smoky Mountains National Park,120
10393,Galactia volubilis,Yosemite National Park,159
22317,Galactia volubilis,Yellowstone National Park,247
3620,Galax urceolata,Yellowstone National Park,233
5294,Galax urceolata,Great Smoky Mountains National Park,72
7553,Galax urceolata,Yosemite National Park,156
10777,Galax urceolata,Bryce National Park,96
7658,Galearis spectabilis,Yosemite National Park,154
8396,Galearis spectabilis,Yellowstone National Park,246
15471,Galearis spectabilis,Bryce National Park,81
22897,Galearis spectabilis,Great Smoky Mountains National Park,97
13863,Galeopsis ladanum,Bryce National Park,122
16650,Galeopsis ladanum,Great Smoky Mountains National Park,85
18795,Galeopsis ladanum,Yosemite National Park,137
19737,Galeopsis ladanum,Yellowstone National Park,269
9635,Galeopsis tetrahit,Yosemite National Park,117
11112,Galeopsis tetrahit,Great Smoky Mountains National Park,51
14653,Galeopsis tetrahit,Yellowstone National Park,222
18797,Galeopsis tetrahit,Bryce National Park,78
2427,Galinsoga parviflora,Great Smoky Mountains National Park,68
7415,Galinsoga parviflora,Yosemite National Park,164
17191,Galinsoga parviflora,Yellowstone National Park,274
19361,Galinsoga parviflora,Bryce National Park,121
2251,Galinsoga quadriradiata,Bryce National Park,93
7943,Galinsoga quadriradiata,Yosemite National Park,153
13389,Galinsoga quadriradiata,Yellowstone National Park,242
21135,Galinsoga quadriradiata,Great Smoky Mountains National Park,96
3604,Galium aparine,Yosemite National Park,134
5057,Galium aparine,Yellowstone National Park,268
16398,Galium aparine,Yellowstone National Park,222
18150,Galium aparine,Great Smoky Mountains National Park,84
19477,Galium aparine,Great Smoky Mountains National Park,72
20904,Galium aparine,Bryce National Park,93
22978,Galium aparine,Bryce National Park,98
23016,Galium aparine,Yosemite National Park,132
4141,Galium asprellum,Yellowstone National Park,249
7546,Galium asprellum,Great Smoky Mountains National Park,68
17131,Galium asprellum,Yosemite National Park,156
17855,Galium asprellum,Bryce National Park,77
8187,Galium bifolium,Bryce National Park,40
11066,Galium bifolium,Yellowstone National Park,238
14271,Galium bifolium,Yosemite National Park,159
14616,Galium bifolium,Great Smoky Mountains National Park,65
5261,Galium bolanderi,Yellowstone National Park,224
18698,Galium bolanderi,Bryce National Park,49
21301,Galium bolanderi,Yosemite National Park,133
21687,Galium bolanderi,Great Smoky Mountains National Park,76
340,Galium boreale,Yellowstone National Park,252
9860,Galium boreale,Great Smoky Mountains National Park,99
10371,Galium boreale,Bryce National Park,79
17966,Galium boreale,Yosemite National Park,137
4936,Galium circaezans,Great Smoky Mountains National Park,78
13413,Galium circaezans,Bryce National Park,114
